kind,name,parent,detail1,detail2
column,category,achievements,text,nullable
column,code,achievements,text,not_null
column,created_at,achievements,timestamp with time zone,nullable
column,description,achievements,text,not_null
column,icon,achievements,text,nullable
column,id,achievements,uuid,not_null
column,organization_id,achievements,uuid,nullable
column,requirements,achievements,jsonb,nullable
column,title,achievements,text,not_null
column,updated_at,achievements,timestamp with time zone,nullable
column,xp_reward,achievements,integer,nullable
column,achievement_id,achievements_log,uuid,not_null
column,achievement_title,achievements_log,text,not_null
column,id,achievements_log,uuid,not_null
column,organization_id,achievements_log,uuid,nullable
column,patient_id,achievements_log,uuid,not_null
column,unlocked_at,achievements_log,timestamp with time zone,nullable
column,xp_reward,achievements_log,integer,nullable
column,clinic_name,activity_lab_clinic_profiles,character varying(150),not_null
column,created_at,activity_lab_clinic_profiles,timestamp with time zone,not_null
column,id,activity_lab_clinic_profiles,uuid,not_null
column,metadata,activity_lab_clinic_profiles,jsonb,not_null
column,organization_id,activity_lab_clinic_profiles,uuid,not_null
column,professional_name,activity_lab_clinic_profiles,character varying(150),nullable
column,registration_number,activity_lab_clinic_profiles,character varying(80),nullable
column,updated_at,activity_lab_clinic_profiles,timestamp with time zone,not_null
column,avg_force,activity_lab_sessions,"numeric(10,2)",not_null
column,body_part,activity_lab_sessions,character varying(120),not_null
column,created_at,activity_lab_sessions,timestamp with time zone,not_null
column,device_battery,activity_lab_sessions,integer,not_null
column,device_firmware,activity_lab_sessions,character varying(120),not_null
column,device_model,activity_lab_sessions,character varying(120),not_null
column,duration,activity_lab_sessions,integer,not_null
column,id,activity_lab_sessions,uuid,not_null
column,is_simulated,activity_lab_sessions,boolean,not_null
column,measurement_mode,activity_lab_sessions,character varying(40),not_null
column,notes,activity_lab_sessions,text,not_null
column,organization_id,activity_lab_sessions,uuid,not_null
column,patient_id,activity_lab_sessions,uuid,not_null
column,peak_force,activity_lab_sessions,"numeric(10,2)",not_null
column,protocol_name,activity_lab_sessions,character varying(160),not_null
column,raw_force_data,activity_lab_sessions,jsonb,not_null
column,rfd,activity_lab_sessions,"numeric(10,2)",not_null
column,sample_rate,activity_lab_sessions,integer,not_null
column,sensitivity,activity_lab_sessions,integer,not_null
column,side,activity_lab_sessions,character varying(10),not_null
column,test_type,activity_lab_sessions,character varying(40),not_null
column,updated_at,activity_lab_sessions,timestamp with time zone,not_null
column,content,agent_memories,text,not_null
column,created_at,agent_memories,timestamp with time zone,not_null
column,embedding,agent_memories,vector(1024),nullable
column,id,agent_memories,uuid,not_null
column,organization_id,agent_memories,uuid,not_null
column,patient_id,agent_memories,uuid,nullable
column,profile_types,agent_memories,text[],not_null
column,session_id,agent_memories,text,nullable
column,therapist_id,agent_memories,text,nullable
column,created_at,ai_config,timestamp with time zone,nullable
column,current_spend_usd,ai_config,numeric,nullable
column,default_analysis_model,ai_config,text,nullable
column,default_chat_model,ai_config,text,nullable
column,default_embedding_model,ai_config,text,nullable
column,default_transcription_model,ai_config,text,nullable
column,default_vision_model,ai_config,text,nullable
column,id,ai_config,uuid,not_null
column,monthly_budget_usd,ai_config,numeric,nullable
column,organization_id,ai_config,uuid,not_null
column,spend_reset_at,ai_config,timestamp with time zone,nullable
column,thinking_budget,ai_config,text,nullable
column,thinking_enabled,ai_config,boolean,nullable
column,updated_at,ai_config,timestamp with time zone,nullable
column,cached_cost_per_1m,ai_models,numeric,nullable
column,capabilities,ai_models,text[],nullable
column,context_length,ai_models,integer,nullable
column,created_at,ai_models,timestamp with time zone,nullable
column,description,ai_models,text,nullable
column,display_name,ai_models,text,not_null
column,id,ai_models,text,not_null
column,input_cost_per_1m,ai_models,numeric,nullable
column,is_available,ai_models,boolean,nullable
column,is_default,ai_models,boolean,nullable
column,is_free,ai_models,boolean,nullable
column,output_cost_per_1m,ai_models,numeric,nullable
column,provider,ai_models,text,not_null
column,sort_order,ai_models,integer,nullable
column,updated_at,ai_models,timestamp with time zone,nullable
column,created_at,ai_peer_reviews,timestamp with time zone,not_null
column,id,ai_peer_reviews,uuid,not_null
column,insights,ai_peer_reviews,jsonb,nullable
column,missing_tests,ai_peer_reviews,jsonb,nullable
column,organization_id,ai_peer_reviews,uuid,nullable
column,quality_score,ai_peer_reviews,numeric,nullable
column,session_id,ai_peer_reviews,uuid,nullable
column,suggestions,ai_peer_reviews,jsonb,nullable
column,therapist_id,ai_peer_reviews,text,nullable
column,completion_tokens,ai_usage,integer,nullable
column,created_at,ai_usage,timestamp without time zone,not_null
column,id,ai_usage,uuid,not_null
column,latency_ms,ai_usage,integer,nullable
column,model,ai_usage,character varying(100),not_null
column,organization_id,ai_usage,uuid,nullable
column,prompt_tokens,ai_usage,integer,nullable
column,provider,ai_usage,character varying(50),not_null
column,status,ai_usage,integer,nullable
column,total_tokens,ai_usage,integer,nullable
column,user_id,ai_usage,uuid,nullable
column,cached_tokens,ai_usage_logs,integer,nullable
column,cost_usd,ai_usage_logs,numeric,nullable
column,created_at,ai_usage_logs,timestamp with time zone,nullable
column,id,ai_usage_logs,uuid,not_null
column,input_tokens,ai_usage_logs,integer,nullable
column,latency_ms,ai_usage_logs,integer,nullable
column,metadata,ai_usage_logs,jsonb,nullable
column,model_id,ai_usage_logs,text,not_null
column,organization_id,ai_usage_logs,uuid,not_null
column,output_tokens,ai_usage_logs,integer,nullable
column,task_type,ai_usage_logs,text,not_null
column,user_id,ai_usage_logs,uuid,nullable
column,was_cache_hit,ai_usage_logs,boolean,nullable
column,was_fallback,ai_usage_logs,boolean,nullable
column,announcement_id,announcement_reads,uuid,not_null
column,id,announcement_reads,uuid,not_null
column,organization_id,announcement_reads,uuid,nullable
column,read_at,announcement_reads,timestamp without time zone,not_null
column,user_id,announcement_reads,uuid,not_null
column,content,announcements,text,not_null
column,created_at,announcements,timestamp without time zone,not_null
column,created_by,announcements,uuid,not_null
column,id,announcements,uuid,not_null
column,is_mandatory,announcements,boolean,nullable
column,media_url,announcements,text,nullable
column,organization_id,announcements,uuid,not_null
column,title,announcements,character varying(255),not_null
column,type,announcements,character varying(50),not_null
column,appointment_id,appointment_reminder_log,uuid,not_null
column,kind,appointment_reminder_log,text,not_null
column,sent_at,appointment_reminder_log,timestamp with time zone,not_null
column,allowed_actions,appointment_status_settings,jsonb,not_null
column,bg_color,appointment_status_settings,character varying(20),not_null
column,border_color,appointment_status_settings,character varying(20),not_null
column,color,appointment_status_settings,character varying(20),not_null
column,counts_toward_capacity,appointment_status_settings,boolean,not_null
column,created_at,appointment_status_settings,timestamp without time zone,not_null
column,id,appointment_status_settings,uuid,not_null
column,is_active,appointment_status_settings,boolean,not_null
column,is_default,appointment_status_settings,boolean,not_null
column,key,appointment_status_settings,character varying(80),not_null
column,label,appointment_status_settings,character varying(120),not_null
column,organization_id,appointment_status_settings,uuid,not_null
column,sort_order,appointment_status_settings,integer,not_null
column,updated_at,appointment_status_settings,timestamp without time zone,not_null
column,buffer_after_minutes,appointment_types,integer,not_null
column,buffer_before_minutes,appointment_types,integer,not_null
column,color,appointment_types,text,not_null
column,created_at,appointment_types,timestamp with time zone,not_null
column,duration_minutes,appointment_types,integer,not_null
column,id,appointment_types,text,not_null
column,is_active,appointment_types,boolean,not_null
column,is_default,appointment_types,boolean,not_null
column,max_per_day,appointment_types,integer,nullable
column,name,appointment_types,text,not_null
column,organization_id,appointment_types,text,not_null
column,sort_order,appointment_types,integer,not_null
column,updated_at,appointment_types,timestamp with time zone,not_null
column,additional_names,appointments,text,nullable
column,billing_status,appointments,character varying(50),nullable
column,cancellation_reason,appointments,text,nullable
column,cancelled_at,appointments,timestamp without time zone,nullable
column,cancelled_by,appointments,uuid,nullable
column,checked_in_at,appointments,timestamp with time zone,nullable
column,checked_in_via,appointments,text,nullable
column,checkin_token,appointments,text,nullable
column,checkin_token_expires_at,appointments,timestamp with time zone,nullable
column,confirmed_at,appointments,timestamp without time zone,nullable
column,confirmed_via,appointments,character varying(50),nullable
column,contact_id,appointments,uuid,nullable
column,created_at,appointments,timestamp without time zone,not_null
column,created_by,appointments,uuid,nullable
column,current_participants,appointments,integer,nullable
column,date,appointments,date,not_null
column,deleted_at,appointments,timestamp without time zone,nullable
column,duration_minutes,appointments,integer,nullable
column,end_time,appointments,time without time zone,nullable
column,group_id,appointments,uuid,nullable
column,id,appointments,uuid,not_null
column,invoice_id,appointments,uuid,nullable
column,is_group,appointments,boolean,nullable
column,is_recurring,appointments,boolean,nullable
column,is_unlimited,appointments,boolean,nullable
column,max_participants,appointments,integer,nullable
column,notes,appointments,text,nullable
column,organization_id,appointments,uuid,nullable
column,package_id,appointments,uuid,nullable
column,paid_at,appointments,timestamp without time zone,nullable
column,patient_id,appointments,uuid,not_null
column,payment_amount,appointments,"numeric(10,2)",nullable
column,payment_status,appointments,payment_status,nullable
column,recurrence_group_id,appointments,uuid,nullable
column,recurrence_pattern,appointments,character varying(50),nullable
column,reminder_sent_at,appointments,timestamp without time zone,nullable
column,rescheduled_from,appointments,uuid,nullable
column,rescheduled_to,appointments,uuid,nullable
column,room_id,appointments,uuid,nullable
column,start_time,appointments,time without time zone,not_null
column,status,appointments,character varying(80),nullable
column,therapist_id,appointments,uuid,not_null
column,type,appointments,appointment_type,nullable
column,updated_at,appointments,timestamp without time zone,not_null
column,authors,articles,text,not_null
column,category,articles,text,not_null
column,created_at,articles,timestamp with time zone,not_null
column,external_url,articles,text,nullable
column,file_url,articles,text,nullable
column,id,articles,uuid,not_null
column,is_favorite,articles,boolean,not_null
column,organization_id,articles,uuid,not_null
column,summary,articles,text,not_null
column,tags,articles,jsonb,not_null
column,title,articles,text,not_null
column,updated_at,articles,timestamp with time zone,not_null
column,asset_id,asset_annotations,text,not_null
column,author_id,asset_annotations,text,nullable
column,created_at,asset_annotations,timestamp with time zone,not_null
column,data,asset_annotations,jsonb,not_null
column,id,asset_annotations,uuid,not_null
column,version,asset_annotations,integer,not_null
column,ativo,atestado_templates,boolean,not_null
column,conteudo,atestado_templates,text,not_null
column,created_at,atestado_templates,timestamp with time zone,not_null
column,created_by,atestado_templates,text,nullable
column,descricao,atestado_templates,text,nullable
column,id,atestado_templates,uuid,not_null
column,nome,atestado_templates,text,not_null
column,organization_id,atestado_templates,uuid,nullable
column,updated_at,atestado_templates,timestamp with time zone,not_null
column,variaveis_disponiveis,atestado_templates,jsonb,not_null
column,created_at,audio_transcription_budgets,timestamp with time zone,not_null
column,effective_from,audio_transcription_budgets,date,not_null
column,hard_stop,audio_transcription_budgets,boolean,not_null
column,id,audio_transcription_budgets,uuid,not_null
column,monthly_limit_minutes,audio_transcription_budgets,integer,not_null
column,organization_id,audio_transcription_budgets,uuid,not_null
column,professional_user_id,audio_transcription_budgets,text,nullable
column,updated_at,audio_transcription_budgets,timestamp with time zone,not_null
column,warn_at_percent,audio_transcription_budgets,integer,not_null
column,action,audit_logs,text,not_null
column,changes,audit_logs,jsonb,not_null
column,created_at,audit_logs,timestamp with time zone,not_null
column,entity_id,audit_logs,text,nullable
column,entity_type,audit_logs,text,nullable
column,id,audit_logs,uuid,not_null
column,ip_address,audit_logs,text,nullable
column,metadata,audit_logs,jsonb,not_null
column,organization_id,audit_logs,uuid,nullable
column,user_agent,audit_logs,text,nullable
column,user_id,audit_logs,text,nullable
column,created_at,autocomplete_catalog,timestamp without time zone,not_null
column,id,autocomplete_catalog,uuid,not_null
column,is_approved,autocomplete_catalog,boolean,not_null
column,name,autocomplete_catalog,character varying(255),not_null
column,organization_id,autocomplete_catalog,uuid,nullable
column,type,autocomplete_catalog,character varying(50),not_null
column,updated_at,autocomplete_catalog,timestamp without time zone,not_null
column,automation_id,automation_logs,text,nullable
column,automation_name,automation_logs,text,nullable
column,completed_at,automation_logs,timestamp with time zone,nullable
column,created_at,automation_logs,timestamp with time zone,not_null
column,duration_ms,automation_logs,integer,nullable
column,error,automation_logs,text,nullable
column,event_type,automation_logs,text,not_null
column,id,automation_logs,uuid,not_null
column,metadata,automation_logs,jsonb,not_null
column,organization_id,automation_logs,uuid,not_null
column,started_at,automation_logs,timestamp with time zone,not_null
column,status,automation_logs,text,not_null
column,created_at,automations,timestamp with time zone,not_null
column,created_by,automations,text,nullable
column,definition,automations,jsonb,not_null
column,description,automations,text,nullable
column,enabled,automations,boolean,not_null
column,id,automations,uuid,not_null
column,name,automations,text,not_null
column,org_id,automations,uuid,not_null
column,trigger_event,automations,text,nullable
column,updated_at,automations,timestamp with time zone,not_null
column,assessment_id,biomechanics_annotations,uuid,not_null
column,created_at,biomechanics_annotations,timestamp without time zone,not_null
column,created_by,biomechanics_annotations,uuid,nullable
column,frame_index,biomechanics_annotations,integer,nullable
column,geometry,biomechanics_annotations,jsonb,nullable
column,id,biomechanics_annotations,uuid,not_null
column,label,biomechanics_annotations,text,nullable
column,media_id,biomechanics_annotations,uuid,nullable
column,organization_id,biomechanics_annotations,uuid,not_null
column,time_ms,biomechanics_annotations,integer,nullable
column,tool,biomechanics_annotations,character varying(50),not_null
column,updated_at,biomechanics_annotations,timestamp without time zone,not_null
column,ai_validation_status,biomechanics_assessments,text,nullable
column,algorithm_version,biomechanics_assessments,character varying(50),nullable
column,analysis_data,biomechanics_assessments,jsonb,nullable
column,capture_context,biomechanics_assessments,jsonb,nullable
column,conclusions,biomechanics_assessments,text,nullable
column,created_at,biomechanics_assessments,timestamp without time zone,not_null
column,id,biomechanics_assessments,uuid,not_null
column,job_id,biomechanics_assessments,uuid,nullable
column,media_url,biomechanics_assessments,text,not_null
column,observations,biomechanics_assessments,text,nullable
column,organization_id,biomechanics_assessments,uuid,nullable
column,patient_id,biomechanics_assessments,uuid,not_null
column,primary_media_id,biomechanics_assessments,uuid,nullable
column,professional_id,biomechanics_assessments,uuid,nullable
column,protocol_id,biomechanics_assessments,uuid,nullable
column,quality_score,biomechanics_assessments,"numeric(5,2)",nullable
column,report_hash,biomechanics_assessments,character varying(128),nullable
column,signature_metadata,biomechanics_assessments,jsonb,nullable
column,signed_at,biomechanics_assessments,timestamp without time zone,nullable
column,status,biomechanics_assessments,character varying(50),nullable
column,symmetry_score,biomechanics_assessments,numeric,nullable
column,thumbnail_url,biomechanics_assessments,text,nullable
column,trajectory_data,biomechanics_assessments,jsonb,nullable
column,type,biomechanics_assessments,biomechanics_assessment_type,not_null
column,updated_at,biomechanics_assessments,timestamp without time zone,not_null
column,validated_at,biomechanics_assessments,timestamp without time zone,nullable
column,validated_by,biomechanics_assessments,uuid,nullable
column,assessment_id,biomechanics_events,uuid,not_null
column,confidence,biomechanics_events,"numeric(5,2)",nullable
column,created_at,biomechanics_events,timestamp without time zone,not_null
