route,file,component,lazy,guard/role,status
/admin/users,@/pages/UserManagement,UserManagement,true,admin,ativo (createBrowserRouter)
/admin/audit-logs,@/pages/AuditLogs,AuditLogs,true,admin,ativo (createBrowserRouter)
/admin/invitations,@/pages/SecurityMonitoring,SecurityMonitoring,true,admin,ativo (createBrowserRouter)
/admin/security,@/pages/SecurityMonitoring,SecurityMonitoring,true,admin,ativo (createBrowserRouter)
/admin/crud,@/pages/AdminCRUD,AdminCRUD,true,admin|fisioterapeuta,ativo (createBrowserRouter)
/admin/organization,@/pages/Admin,Admin,true,admin|fisioterapeuta,ativo (createBrowserRouter)
/admin/analytics,@/pages/Admin,Admin,true,admin|fisioterapeuta,ativo (createBrowserRouter)
/admin/events-lake,@/pages/EventsLakePage,EventsLakePage,true,admin,ativo (createBrowserRouter)
/admin/cohorts,@/pages/CohortAnalysis,CohortAnalysis,true,admin|fisioterapeuta,ativo (createBrowserRouter)
/admin/goals,@/pages/admin/goals/GoalProfileListPage,GoalProfileListPage,true,admin|fisioterapeuta,ativo (createBrowserRouter)
/admin/goals/:id,@/pages/admin/goals/GoalProfileEditorPage,GoalProfileEditorPage,true,admin|fisioterapeuta,ativo (createBrowserRouter)
/admin/gamification,src/routes/admin.tsx,AdminGamificationPage,false,admin|fisioterapeuta,ativo (createBrowserRouter)
/admin/professionals,@/pages/admin/ProfessionalManagement,ProfessionalManagement,true,admin,ativo (createBrowserRouter)
/admin/usuarios-pendentes,@/pages/admin/PendingUsersPage,PendingUsersPage,true,admin,ativo (createBrowserRouter)
/security-settings,@/pages/SecuritySettings,SecuritySettings,true,admin,ativo (createBrowserRouter)
/security-monitoring,@/pages/SecurityMonitoring,SecurityMonitoring,true,admin,ativo (createBrowserRouter)
/pre-cadastro-admin,@/pages/PreCadastroAdmin,PreCadastroAdmin,true,admin,ativo (createBrowserRouter)
/analytics,@/pages/AdvancedAnalytics,AdvancedAnalytics,true,admin|fisioterapeuta,ativo (createBrowserRouter)
/admin/lgpd/ropa,@/pages/admin/ROPAViewer,ROPAViewer,true,admin,ativo (createBrowserRouter)
/admin/system-health,@/pages/admin/SystemHealthPage,SystemHealthPage,true,admin,ativo (createBrowserRouter)
/ia-studio,@/pages/IntelligenceHub,IntelligenceHub,true,auth,ativo (createBrowserRouter)
/ai-hub,@/pages/IntelligenceHub,IntelligenceHub,true,auth,ativo (createBrowserRouter)
/inteligencia,@/pages/IntelligenceHub,IntelligenceHub,true,auth,ativo (createBrowserRouter)
/smart-dashboard,@/pages/ai/ClinicalAnalysisPage,ClinicalAnalysisPage,true,auth,ativo (createBrowserRouter)
/smart-ai,@/pages/ai/ClinicalAnalysisPage,ClinicalAnalysisPage,true,auth,ativo (createBrowserRouter)
/analytics,@/pages/ai/ClinicalAnalysisPage,ClinicalAnalysisPage,true,auth,ativo (createBrowserRouter)
/bi,@/pages/ai/ClinicalAnalysisPage,ClinicalAnalysisPage,true,auth,ativo (createBrowserRouter)
/ai/clinical,@/pages/ai/ClinicalAnalysisPage,ClinicalAnalysisPage,true,auth,ativo (createBrowserRouter)
/ai/dicom,@/pages/ai/SemanticSearchPage,SemanticSearchPage,true,auth,ativo (createBrowserRouter)
/ai/movement,@/pages/ai/SemanticSearchPage,SemanticSearchPage,true,auth,ativo (createBrowserRouter)
/ai/semantic-search,@/pages/ai/SemanticSearchPage,SemanticSearchPage,true,auth,ativo (createBrowserRouter)
/ai/brain-dashboard,@/pages/ai/BrainDashboardPage,BrainDashboardPage,true,auth,ativo (createBrowserRouter)
/ai/scanner,@/pages/ai/DocumentScannerPage,DocumentScannerPage,true,auth,ativo (createBrowserRouter)
/ai/activity-lab,@/pages/ai/ActivityLabPage,ActivityLabPage,true,auth,ativo (createBrowserRouter)
/chatbot,src/routes/ai.tsx,MainLayout,false,auth,ativo (createBrowserRouter)
/computer-vision/:patientId?,src/routes/ai.tsx,MainLayout,false,auth,ativo (createBrowserRouter)
/intelligent-reports/:patientId,src/routes/ai.tsx,IntelligentReportsRoute,false,auth,ativo (createBrowserRouter)
/augmented-reality/:patientId?,src/routes/ai.tsx,MainLayout,false,auth,ativo (createBrowserRouter)
/dashboard/imagens,src/routes/ai.tsx,ImageAnalysisDashboard,false,auth,ativo (createBrowserRouter)
/pacientes/:id/imagens,src/routes/ai.tsx,ImageAnalysisDashboard,false,auth,ativo (createBrowserRouter)
/dashboard/dinamica/:id,src/routes/ai.tsx,DynamicCompareDetailsPage,false,auth,ativo (createBrowserRouter)
/welcome,@/pages/Welcome,Welcome,true,auth,ativo (createBrowserRouter)
/auth,@/pages/Auth,Auth,true,auth,ativo (createBrowserRouter)
/auth/login,@/pages/Auth,Auth,true,auth,ativo (createBrowserRouter)
/indicacao/:code,@/pages/public/ReferralLanding,ReferralLanding,true,auth,ativo (createBrowserRouter)
/tv/recepcao,@/pages/public/WaitingRoomTV,WaitingRoomTV,true,auth,ativo (createBrowserRouter)
/pending-approval,@/pages/PendingApproval,PendingApproval,true,auth,ativo (createBrowserRouter)
/pre-cadastro,@/pages/PreCadastro,PreCadastro,true,public,ativo (createBrowserRouter)
/pre-cadastro/:token,@/pages/PreCadastro,PreCadastro,true,public,ativo (createBrowserRouter)
