                        List of relations
 Schema |               Name               | Type  |    Owner     
--------+----------------------------------+-------+--------------
 public | achievements                     | table | neondb_owner
 public | achievements_log                 | table | neondb_owner
 public | activity_lab_clinic_profiles     | table | neondb_owner
 public | activity_lab_sessions            | table | neondb_owner
 public | announcement_reads               | table | neondb_owner
 public | announcements                    | table | neondb_owner
 public | appointments                     | table | neondb_owner
 public | articles                         | table | neondb_owner
 public | asset_annotations                | table | neondb_owner
 public | atestado_templates               | table | neondb_owner
 public | audit_logs                       | table | neondb_owner
 public | automation_logs                  | table | neondb_owner
 public | blocked_slots                    | table | neondb_owner
 public | blocked_times                    | table | neondb_owner
 public | board_columns                    | table | neondb_owner
 public | boards                           | table | neondb_owner
 public | business_hours                   | table | neondb_owner
 public | cancellation_rules               | table | neondb_owner
 public | centros_custo                    | table | neondb_owner
 public | checklist_items                  | table | neondb_owner
 public | clinic_inventory                 | table | neondb_owner
 public | clinic_profiles                  | table | neondb_owner
 public | clinical_benchmarks              | table | neondb_owner
 public | clinical_test_templates          | table | neondb_owner
 public | commission_payouts               | table | neondb_owner
 public | communication_logs               | table | neondb_owner
 public | conduct_library                  | table | neondb_owner
 public | contas_financeiras               | table | neondb_owner
 public | content_calendar                 | table | neondb_owner
 public | contratados                      | table | neondb_owner
 public | contrato_templates               | table | neondb_owner
 public | convenio_reports                 | table | neondb_owner
 public | convenios                        | table | neondb_owner
 public | crm_campanha_envios              | table | neondb_owner
 public | crm_campanhas                    | table | neondb_owner
 public | crm_tarefas                      | table | neondb_owner
 public | daily_quests                     | table | neondb_owner
 public | doctors                          | table | neondb_owner
 public | document_signatures              | table | neondb_owner
 public | empresas_parceiras               | table | neondb_owner
 public | evaluation_form_fields           | table | neondb_owner
 public | evaluation_forms                 | table | neondb_owner
 public | evaluation_templates             | table | neondb_owner
 public | evento_contratados               | table | neondb_owner
 public | evento_templates                 | table | neondb_owner
 public | eventos                          | table | neondb_owner
 public | evolution_measurements           | table | neondb_owner
 public | evolution_templates              | table | neondb_owner
 public | evolution_versions               | table | neondb_owner
 public | exercise_categories              | table | neondb_owner
 public | exercise_favorites               | table | neondb_owner
 public | exercise_plan_items              | table | neondb_owner
 public | exercise_plans                   | table | neondb_owner
 public | exercise_prescriptions           | table | neondb_owner
 public | exercise_protocols               | table | neondb_owner
 public | exercise_sessions                | table | neondb_owner
 public | exercise_template_items          | table | neondb_owner
 public | exercise_templates               | table | neondb_owner
 public | exercise_videos                  | table | neondb_owner
 public | exercises                        | table | neondb_owner
 public | fcm_tokens                       | table | neondb_owner
 public | feriados                         | table | neondb_owner
 public | fisio_link_analytics             | table | neondb_owner
 public | fisio_links                      | table | neondb_owner
 public | force_sessions                   | table | neondb_owner
 public | formas_pagamento                 | table | neondb_owner
 public | fornecedores                     | table | neondb_owner
 public | gamification_notifications       | table | neondb_owner
 public | gamification_settings            | table | neondb_owner
 public | generated_reports                | table | neondb_owner
 public | goal_profiles                    | table | neondb_owner
 public | goals                            | table | neondb_owner
 public | google_drive_items               | table | neondb_owner
 public | google_integrations              | table | neondb_owner
 public | google_sync_logs                 | table | neondb_owner
 public | inventory_movements              | table | neondb_owner
 public | jules_learnings                  | table | neondb_owner
 public | jules_pr_reviews                 | table | neondb_owner
 public | knowledge_annotations            | table | neondb_owner
 public | knowledge_articles               | table | neondb_owner
 public | knowledge_audit                  | table | neondb_owner
 public | knowledge_curation               | table | neondb_owner
 public | knowledge_notes                  | table | neondb_owner
 public | lead_historico                   | table | neondb_owner
 public | leads                            | table | neondb_owner
 public | lgpd_consents                    | table | neondb_owner
 public | marketing_birthday_configs       | table | neondb_owner
 public | marketing_consents               | table | neondb_owner
 public | marketing_exports                | table | neondb_owner
 public | marketing_recall_campaigns       | table | neondb_owner
 public | marketing_review_configs         | table | neondb_owner
 public | medical_attachments              | table | neondb_owner
 public | medical_records                  | table | neondb_owner
 public | medical_report_templates         | table | neondb_owner
 public | medical_reports                  | table | neondb_owner
 public | medical_request_files            | table | neondb_owner
 public | medical_requests                 | table | neondb_owner
 public | messages                         | table | neondb_owner
 public | mfa_enrollments                  | table | neondb_owner
 public | mfa_settings                     | table | neondb_owner
 public | ml_training_data                 | table | neondb_owner
 public | nfse                             | table | neondb_owner
 public | nfse_config                      | table | neondb_owner
 public | nfse_records                     | table | neondb_owner
 public | notification_preferences         | table | neondb_owner
 public | notifications                    | table | neondb_owner
 public | organization_members             | table | neondb_owner
 public | organizations                    | table | neondb_owner
 public | package_session_log              | table | neondb_owner
 public | package_usage                    | table | neondb_owner
 public | pagamentos                       | table | neondb_owner
 public | pain_map_points                  | table | neondb_owner
 public | pain_maps                        | table | neondb_owner
 public | participantes                    | table | neondb_owner
 public | pathologies                      | table | neondb_owner
 public | pathology_required_measurements  | table | neondb_owner
 public | patient_challenges               | table | neondb_owner
 public | patient_documents                | table | neondb_owner
 public | patient_evaluation_responses     | table | neondb_owner
 public | patient_exam_files               | table | neondb_owner
 public | patient_exams                    | table | neondb_owner
 public | patient_gamification             | table | neondb_owner
 public | patient_goal_tracking            | table | neondb_owner
 public | patient_goals                    | table | neondb_owner
 public | patient_insights                 | table | neondb_owner
 public | patient_lifecycle_events         | table | neondb_owner
 public | patient_medical_returns          | table | neondb_owner
 public | patient_objective_assignments    | table | neondb_owner
 public | patient_objectives               | table | neondb_owner
 public | patient_outcome_measures         | table | neondb_owner
 public | patient_packages                 | table | neondb_owner
 public | patient_pathologies              | table | neondb_owner
 public | patient_predictions              | table | neondb_owner
 public | patient_self_assessments         | table | neondb_owner
 public | patient_session_metrics          | table | neondb_owner
 public | patient_surgeries                | table | neondb_owner
 public | patients                         | table | neondb_owner
 public | physical_examinations            | table | neondb_owner
 public | precadastro_tokens               | table | neondb_owner
 public | precadastros                     | table | neondb_owner
 public | prescribed_exercises             | table | neondb_owner
 public | prestadores                      | table | neondb_owner
 public | profiles                         | table | neondb_owner
 public | projects                         | table | neondb_owner
 public | protocol_exercises               | table | neondb_owner
 public | public_booking_requests          | table | neondb_owner
 public | push_subscriptions               | table | neondb_owner
 public | push_tokens                      | table | neondb_owner
 public | quest_definitions                | table | neondb_owner
 public | recibos                          | table | neondb_owner
 public | recurring_series                 | table | neondb_owner
 public | referral_codes                   | table | neondb_owner
 public | referral_redemptions             | table | neondb_owner
 public | revenue_forecasts                | table | neondb_owner
 public | rooms                            | table | neondb_owner
 public | salas                            | table | neondb_owner
 public | satisfaction_surveys             | table | neondb_owner
 public | schedule_capacity                | table | neondb_owner
 public | scheduling_notification_settings | table | neondb_owner
 public | security_events                  | table | neondb_owner
 public | servicos                         | table | neondb_owner
 public | session_attachments              | table | neondb_owner
 public | session_package_templates        | table | neondb_owner
 public | session_packages                 | table | neondb_owner
 public | session_templates                | table | neondb_owner
 public | sessions                         | table | neondb_owner
 public | shop_items                       | table | neondb_owner
 public | staff_performance_metrics        | table | neondb_owner
 public | standardized_test_results        | table | neondb_owner
 public | surgeries                        | table | neondb_owner
 public | tarefas                          | table | neondb_owner
 public | telemedicine_rooms               | table | neondb_owner
 public | therapist_commissions            | table | neondb_owner
 public | time_entries                     | table | neondb_owner
 public | timer_drafts                     | table | neondb_owner
 public | transacoes                       | table | neondb_owner
 public | treatment_cycles                 | table | neondb_owner
 public | treatment_plans                  | table | neondb_owner
 public | treatment_sessions               | table | neondb_owner
 public | user_inventory                   | table | neondb_owner
 public | user_invitations                 | table | neondb_owner
 public | user_vouchers                    | table | neondb_owner
 public | voucher_checkout_sessions        | table | neondb_owner
 public | vouchers                         | table | neondb_owner
 public | wa_assignments                   | table | neondb_owner
 public | wa_automation_rules              | table | neondb_owner
 public | wa_conversation_tags             | table | neondb_owner
 public | wa_conversations                 | table | neondb_owner
 public | wa_internal_notes                | table | neondb_owner
 public | wa_messages                      | table | neondb_owner
 public | wa_opt_in_out                    | table | neondb_owner
 public | wa_quick_replies                 | table | neondb_owner
 public | wa_raw_events                    | table | neondb_owner
 public | wa_sla_config                    | table | neondb_owner
 public | wa_sla_tracking                  | table | neondb_owner
 public | wa_tags                          | table | neondb_owner
 public | waitlist                         | table | neondb_owner
 public | waitlist_offers                  | table | neondb_owner
 public | wearable_data                    | table | neondb_owner
 public | weekly_challenges                | table | neondb_owner
 public | whatsapp_contacts                | table | neondb_owner
 public | whatsapp_exercise_queue          | table | neondb_owner
 public | whatsapp_messages                | table | neondb_owner
 public | wiki_categories                  | table | neondb_owner
 public | wiki_comments                    | table | neondb_owner
 public | wiki_page_versions               | table | neondb_owner
 public | wiki_pages                       | table | neondb_owner
 public | xp_transactions                  | table | neondb_owner
(208 rows)

